Data e Hora (GMT);Chuva (mm);Nível (m);Correção chuva;Correção Nível;EXTRAVASAMENTO
1/1/22 0:00;0;0,61;0;0,61;NÃO
1/1/22 0:15;0,2;0,60;0,2;0,60;NÃO
1/1/22 0:30;0;0,60;0;0,60;NÃO
1/1/22 0:45;0;0,60;0;0,60;NÃO
1/1/22 1:00;0;0,60;0;0,60;NÃO
1/1/22 1:15;0,4;0,60;0,4;0,60;NÃO
1/1/22 1:30;0,2;0,60;0,2;0,60;NÃO
1/1/22 1:45;0;0,60;0;0,60;NÃO
1/1/22 2:00;0,4;0,60;0,4;0,60;NÃO
1/1/22 2:15;0;0,60;0;0,60;NÃO
1/1/22 2:30;0,4;0,60;0,4;0,60;NÃO
1/1/22 2:45;0;0,61;0;0,61;NÃO
1/1/22 3:00;0;0,61;0;0,61;NÃO
1/1/22 3:15;0;0,61;0;0,61;NÃO
1/1/22 3:30;0;0,61;0;0,61;NÃO
1/1/22 3:45;0,2;0,61;0,2;0,61;NÃO
1/1/22 4:00;0,2;0,60;0,2;0,60;NÃO
1/1/22 4:15;0,2;0,60;0,2;0,60;NÃO
1/1/22 4:30;0;0,60;0;0,60;NÃO
1/1/22 4:45;0,2;0,60;0,2;0,60;NÃO
1/1/22 5:00;0;0,60;0;0,60;NÃO
1/1/22 5:15;0;0,60;0;0,60;NÃO
1/1/22 5:30;0;0,61;0;0,61;NÃO
1/1/22 5:45;0;0,60;0;0,60;NÃO
1/1/22 6:00;0;0,60;0;0,60;NÃO
1/1/22 6:15;0;0,59;0;0,59;NÃO
1/1/22 6:30;0;0,59;0;0,59;NÃO
1/1/22 6:45;0;0,59;0;0,59;NÃO
1/1/22 7:00;0;0,58;0;0,58;NÃO
1/1/22 7:15;0;0,58;0;0,58;NÃO
1/1/22 7:30;0,2;0,58;0,2;0,58;NÃO
1/1/22 7:45;0;0,58;0;0,58;NÃO
1/1/22 8:00;0,2;0,58;0,2;0,58;NÃO
1/1/22 8:15;0;0,59;0;0,59;NÃO
1/1/22 8:30;0;0,59;0;0,59;NÃO
1/1/22 8:45;0;0,59;0;0,59;NÃO
1/1/22 9:00;0,2;0,59;0,2;0,59;NÃO
1/1/22 9:15;0;0,59;0;0,59;NÃO
1/1/22 9:30;0;0,59;0;0,59;NÃO
1/1/22 9:45;0;0,59;0;0,59;NÃO
1/1/22 10:00;0;0,59;0;0,59;NÃO
1/1/22 10:15;0;0,59;0;0,59;NÃO
1/1/22 10:30;0;0,59;0;0,59;NÃO
1/1/22 10:45;0;0,59;0;0,59;NÃO
1/1/22 11:00;0;0,59;0;0,59;NÃO
1/1/22 11:15;0;0,58;0;0,58;NÃO
1/1/22 11:30;0;0,59;0;0,59;NÃO
